ID_Venta,Fecha,Pais,Ciudad,Cliente,Producto,Categoria,Cantidad,Precio_Unitario,Monto_Total,Medio_Envio,Estado_Envio
129,2024-06-25,Chile,Santiago,Lucia Martinez,Camara,Electronica,4,405.15,1620.6,Aereo,Pendiente
130,2024-06-28,Chile,Santiago,Lucia Sanchez,Celular,Electronica,5,1129.52,5647.6,Maritimo,Pendiente
131,2024-12-29,Venezuela,Maracaibo,Maria Sanchez,Monitor,Electronica,3,601.07,1803.21,Terrestre,Pendiente
132,2024-04-12,Colombia,Medellin,Lucia Garcia,Camara,Electronica,4,265.11,1060.44,Terrestre,En transito
133,2024-10-12,Bolivia,La Paz,Juan Martinez,Escritorio,Muebles,1,1119.96,1119.96,Maritimo,Pendiente
134,2024-01-25,Chile,Santiago,Maria Rodriguez,Celular,Electronica,3,381.12,1143.36,Maritimo,Entregado
135,2025-01-06,Bolivia,La Paz,Lucia Garcia,Teclado,Accesorios,1,1104.43,1104.43,Terrestre,Pendiente
136,2024-08-28,Brasil,Brasilia,Maria Martinez,Auriculares,Accesorios,5,688.11,3440.55,Terrestre,Cancelado
137,2024-07-14,Ecuador,Guayaquil,Laura Sanchez,Tablet,Electronica,5,392.24,1961.2,Aereo,En transito
138,2025-03-14,Chile,Santiago,Carlos Rodriguez,Camara,Electronica,4,320.92,1283.68,Aereo,Cancelado
139,2024-05-08,Colombia,Bogota,Juan Sanchez,Impresora,Oficina,5,37.79,188.95,Aereo,En transito
140,2025-01-12,Argentina,Buenos Aires,Maria Sanchez,Teclado,Accesorios,2,95.37,190.74,Terrestre,Cancelado
141,2024-07-26,Uruguay,Paysandu,Carlos Rodriguez,Teclado,Accesorios,4,1152.64,4610.56,Terrestre,Entregado
142,2024-04-03,Colombia,Medellin,Carlos Perez,Impresora,Oficina,1,115.6,115.6,Maritimo,Cancelado
143,2024-10-10,Ecuador,Guayaquil,Maria Lopez,Silla ergonomica,Muebles,1,889.27,889.27,Aereo,En transito
144,2024-06-10,Ecuador,Guayaquil,Pedro Sanchez,Camara,Electronica,5,180.04,900.2,Maritimo,En transito
145,2024-02-03,Argentina,Rosario,Carlos Lopez,Impresora,Oficina,2,332.02,664.04,Maritimo,Cancelado
146,2024-03-15,Bolivia,Santa Cruz,Carlos Rodriguez,Camara,Electronica,3,472.1,1416.3,Maritimo,En transito
147,2024-08-25,Peru,Arequipa,Lucia Lopez,Camara,Electronica,3,215.43,646.29,Maritimo,En transito
148,2024-02-02,Peru,Cusco,Carlos Martinez,Tablet,Electronica,5,1007.05,5035.25,Aereo,Pendiente
149,2024-10-18,Paraguay,Ciudad del Este,Maria Garcia,Celular,Electronica,4,176.98,707.92,Aereo,En transito
150,2024-06-07,Uruguay,Paysandu,Carlos Martinez,Auriculares,Accesorios,3,572.37,1717.11,Aereo,Cancelado
151,2024-05-23,Argentina,Rosario,Maria Rodriguez,Silla ergonomica,Muebles,2,61.34,122.68,Terrestre,En transito
152,2024-07-12,Chile,Santiago,Laura Rodriguez,Tablet,Electronica,1,1041.61,1041.61,Aereo,Entregado
153,2024-12-25,Paraguay,Ciudad del Este,Carlos Sanchez,Escritorio,Muebles,3,1067.18,3201.54,Terrestre,Entregado
154,2024-10-17,Uruguay,Montevideo,Pedro Sanchez,Escritorio,Muebles,2,1192.34,2384.68,Terrestre,Cancelado
155,2024-08-04,Peru,Lima,Carlos Sanchez,Silla ergonomica,Muebles,5,381.27,1906.35,Terrestre,Pendiente
156,2024-07-17,Ecuador,Quito,Carlos Garcia,Impresora,Oficina,1,1024.78,1024.78,Aereo,Pendiente
157,2024-07-31,Argentina,Buenos Aires,Luis Rodriguez,Silla ergonomica,Muebles,5,1103.84,5519.2,Maritimo,Cancelado
158,2024-04-07,Peru,Lima,Maria Martinez,Auriculares,Accesorios,2,294.16,588.32,Aereo,En transito
159,2024-08-16,Argentina,Cordoba,Luis Martinez,Impresora,Oficina,1,1009.29,1009.29,Terrestre,Cancelado
160,2024-12-03,Venezuela,Valencia,Carlos Lopez,Escritorio,Muebles,4,442.92,1771.68,Aereo,En transito
161,2024-02-22,Chile,Valparaiso,Ana Rodriguez,Laptop,Electronica,3,921.34,2764.02,Terrestre,Pendiente
162,2024-09-19,Peru,Lima,Pedro Rodriguez,Tablet,Electronica,4,836.32,3345.28,Terrestre,Entregado
163,2025-02-27,Argentina,Cordoba,Pedro Lopez,Impresora,Oficina,2,203.59,407.18,Aereo,Pendiente
164,2025-01-09,Argentina,Rosario,Lucia Perez,Silla ergonomica,Muebles,2,268.77,537.54,Terrestre,Pendiente
165,2024-06-27,Chile,Santiago,Pedro Garcia,Escritorio,Muebles,1,431.19,431.19,Terrestre,Pendiente
166,2025-03-22,Paraguay,Encarnacion,Ana Sanchez,Celular,Electronica,4,1166.11,4664.44,Aereo,Pendiente
167,2024-08-24,Brasil,Rio de Janeiro,Maria Rodriguez,Silla ergonomica,Muebles,3,118.76,356.28,Terrestre,Entregado
168,2024-12-12,Brasil,Rio de Janeiro,Lucia Sanchez,Auriculares,Accesorios,5,94.4,472,Terrestre,En transito
169,2024-09-15,Argentina,Cordoba,Maria Rodriguez,Celular,Electronica,3,697.11,2091.33,Maritimo,Entregado
170,2024-07-25,Peru,Lima,Lucia Lopez,Escritorio,Muebles,3,781.91,2345.73,Maritimo,Pendiente
171,2025-01-09,Argentina,Rosario,Maria Lopez,Laptop,Electronica,4,1171.62,4686.48,Maritimo,En transito
172,2024-07-14,Chile,Concepcion,Carlos Garcia,Monitor,Electronica,5,1161.61,5808.05,Terrestre,Pendiente
173,2024-01-02,Colombia,Medellin,Ana Rodriguez,Escritorio,Muebles,2,126.08,252.16,Aereo,En transito
174,2024-07-01,Bolivia,La Paz,Pedro Garcia,Impresora,Oficina,3,1087.96,3263.88,Terrestre,Entregado
175,2024-10-15,Paraguay,Ciudad del Este,Lucia Perez,Laptop,Electronica,3,549.88,1649.64,Maritimo,Entregado
176,2024-03-30,Uruguay,Montevideo,Maria Sanchez,Laptop,Electronica,5,239.76,1198.8,Aereo,Pendiente
177,2024-10-26,Brasil,Sao Paulo,Maria Lopez,Teclado,Accesorios,2,1082.24,2164.48,Terrestre,Cancelado
178,2025-03-16,Chile,Valparaiso,Luis Perez,Auriculares,Accesorios,1,456.76,456.76,Maritimo,Entregado
179,2024-10-29,Ecuador,Quito,Juan Sanchez,Silla ergonomica,Muebles,5,371.33,1856.65,Aereo,Pendiente
180,2024-09-29,Uruguay,Paysandu,Pedro Garcia,Teclado,Accesorios,1,573.82,573.82,Aereo,En transito
181,2024-03-09,Chile,Santiago,Juan Sanchez,Impresora,Oficina,4,145.83,583.32,Aereo,Cancelado
182,2024-04-10,Colombia,Cali,Pedro Lopez,Celular,Electronica,3,500.44,1501.32,Aereo,Cancelado
183,2024-06-16,Colombia,Bogota,Luis Sanchez,Escritorio,Muebles,1,398.14,398.14,Maritimo,Pendiente
184,2024-05-20,Colombia,Medellin,Pedro Garcia,Auriculares,Accesorios,5,621.68,3108.4,Aereo,Pendiente
185,2024-10-10,Ecuador,Guayaquil,Carlos Sanchez,Escritorio,Muebles,1,817.39,817.39,Terrestre,En transito
186,2024-11-24,Colombia,Medellin,Luis Lopez,Teclado,Accesorios,3,521.24,1563.72,Maritimo,Entregado
187,2025-02-23,Colombia,Cali,Carlos Lopez,Celular,Electronica,3,1013.46,3040.38,Terrestre,Pendiente
188,2024-11-22,Chile,Valparaiso,Pedro Sanchez,Tablet,Electronica,2,237.5,475,Terrestre,Pendiente
189,2024-01-26,Paraguay,Ciudad del Este,Maria Martinez,Teclado,Accesorios,2,1196.91,2393.82,Maritimo,Pendiente
190,2025-02-09,Bolivia,Santa Cruz,Ana Garcia,Escritorio,Muebles,4,549.12,2196.48,Maritimo,Cancelado
191,2025-01-11,Colombia,Cali,Carlos Rodriguez,Monitor,Electronica,1,957.51,957.51,Terrestre,En transito
192,2025-01-21,Paraguay,Asuncion,Maria Rodriguez,Silla ergonomica,Muebles,5,482.19,2410.95,Terrestre,Entregado
193,2024-11-03,Paraguay,Ciudad del Este,Laura Lopez,Camara,Electronica,5,572.38,2861.9,Terrestre,Pendiente
194,2024-10-13,Uruguay,Paysandu,Pedro Garcia,Laptop,Electronica,3,1027.77,3083.31,Maritimo,Pendiente
195,2024-11-17,Peru,Cusco,Laura Lopez,Escritorio,Muebles,4,219.24,876.96,Maritimo,En transito
196,2025-02-22,Ecuador,Cuenca,Laura Lopez,Teclado,Accesorios,1,163.2,163.2,Terrestre,En transito
197,2025-03-07,Argentina,Rosario,Lucia Martinez,Teclado,Accesorios,4,216.13,864.52,Terrestre,Cancelado
198,2024-03-20,Brasil,Brasilia,Carlos Perez,Teclado,Accesorios,2,895.65,1791.3,Maritimo,Pendiente
199,2024-12-24,Venezuela,Maracaibo,Lucia Lopez,Celular,Electronica,4,801.08,3204.32,Terrestre,Entregado
200,2025-01-05,Colombia,Medellin,Carlos Rodriguez,Impresora,Oficina,5,1008.94,5044.7,Maritimo,Entregado
201,2025-01-21,Ecuador,Cuenca,Juan Garcia,Camara,Electronica,2,807.09,1614.18,Terrestre,En transito
202,2024-06-16,Ecuador,Guayaquil,Juan Sanchez,Monitor,Electronica,4,1094.91,4379.64,Maritimo,Pendiente
203,2024-04-16,Brasil,Brasilia,Lucia Garcia,Teclado,Accesorios,1,167.07,167.07,Aereo,Cancelado
204,2024-12-27,Chile,Concepcion,Maria Rodriguez,Tablet,Electronica,2,217.8,435.6,Aereo,Pendiente
205,2024-09-16,Paraguay,Asuncion,Ana Garcia,Celular,Electronica,3,985.79,2957.37,Aereo,En transito
206,2024-02-29,Ecuador,Guayaquil,Juan Sanchez,Camara,Electronica,3,1096.95,3290.85,Terrestre,Pendiente
207,2024-11-20,Chile,Santiago,Luis Lopez,Laptop,Electronica,1,602.03,602.03,Maritimo,Cancelado
208,2025-02-20,Argentina,Rosario,Juan Perez,Auriculares,Accesorios,1,140.49,140.49,Terrestre,Entregado
209,2025-03-15,Ecuador,Quito,Luis Rodriguez,Teclado,Accesorios,4,119.85,479.4,Terrestre,En transito
210,2025-03-01,Ecuador,Quito,Juan Sanchez,Silla ergonomica,Muebles,1,542.99,542.99,Aereo,Cancelado
211,2024-12-10,Uruguay,Montevideo,Carlos Martinez,Camara,Electronica,2,273.46,546.92,Terrestre,Cancelado
212,2024-06-28,Paraguay,Ciudad del Este,Luis Perez,Auriculares,Accesorios,4,585.02,2340.08,Aereo,Cancelado
213,2025-03-15,Bolivia,La Paz,Pedro Lopez,Laptop,Electronica,2,1179.69,2359.38,Maritimo,Cancelado
214,2024-09-01,Brasil,Brasilia,Juan Perez,Monitor,Electronica,4,125.78,503.12,Aereo,Cancelado
215,2024-05-18,Ecuador,Guayaquil,Luis Sanchez,Camara,Electronica,5,668.07,3340.35,Aereo,Entregado
216,2024-12-07,Ecuador,Cuenca,Ana Garcia,Monitor,Electronica,2,1041.23,2082.46,Terrestre,Cancelado
217,2024-09-14,Paraguay,Encarnacion,Laura Sanchez,Silla ergonomica,Muebles,2,315.53,631.06,Aereo,Pendiente
218,2024-03-26,Paraguay,Ciudad del Este,Ana Martinez,Tablet,Electronica,1,630.06,630.06,Terrestre,Pendiente
219,2024-01-26,Argentina,Cordoba,Maria Martinez,Monitor,Electronica,2,413.47,826.94,Maritimo,Cancelado
220,2024-02-02,Bolivia,Cochabamba,Luis Martinez,Impresora,Oficina,5,57.61,288.05,Aereo,Entregado
221,2024-04-14,Peru,Cusco,Pedro Rodriguez,Auriculares,Accesorios,4,1100.29,4401.16,Aereo,Pendiente
222,2024-12-12,Peru,Arequipa,Carlos Rodriguez,Camara,Electronica,1,621.37,621.37,Terrestre,Cancelado
223,2024-02-23,Chile,Valparaiso,Juan Rodriguez,Impresora,Oficina,2,543.02,1086.04,Terrestre,Pendiente
224,2024-05-03,Argentina,Cordoba,Lucia Sanchez,Escritorio,Muebles,2,641.11,1282.22,Aereo,Entregado
225,2024-08-30,Colombia,Medellin,Luis Martinez,Celular,Electronica,3,445.72,1337.16,Maritimo,Cancelado
